scrambleMode,nodeMode,matrixMode,lastStep,matrixSize,numBytesIn,numBytesOut,Loading Data,Padding Data,Scrambling,Outputting Scrambled Data,Outputting key
scrambling,byte,hashed,Done,3844,2551,5128,1,0,186,1,9
scrambling,bit,hashed,Done,22648,2551,3776,8,1,3203,4,48
scrambling,byte,linked,Done,3835,2551,5116,2,2,69,1,9
scrambling,bit,linked,Done,22800,2551,3800,3,0,622,2,49
scrambling,byte,array,Done,3840,2551,5120,1,1,67,0,9
scrambling,bit,array,Done,22792,2551,3800,17,0,808,2,48
scrambling,byte,hashed,Done,3844,2601,5128,1,33,206,1,9
scrambling,bit,hashed,Done,23864,2601,3980,6,1,3410,4,52
scrambling,byte,linked,Done,3844,2601,5128,1,1,31,0,10
scrambling,bit,linked,Done,23400,2601,3900,8,3,673,2,52
scrambling,byte,array,Done,3844,2601,5128,1,0,56,1,9
scrambling,bit,array,Done,23104,2601,3852,2,1,822,2,49
scrambling,byte,hashed,Done,3904,2651,5208,1,0,192,1,9
scrambling,bit,hashed,Done,24336,2651,4056,6,2,3859,4,52
scrambling,byte,linked,Done,3904,2651,5208,1,0,38,0,9
scrambling,bit,linked,Done,23712,2651,3952,2,1,627,1,53
scrambling,byte,array,Done,3904,2651,5208,1,33,62,1,9
scrambling,bit,array,Done,23560,2651,3928,3,0,832,2,53
scrambling,byte,hashed,Done,3969,2701,5292,1,1,194,1,8
scrambling,bit,hashed,Done,24640,2701,4108,6,3,3118,3,53
scrambling,byte,linked,Done,3968,2701,5292,4,3,32,0,10
scrambling,bit,linked,Done,23864,2701,3980,4,0,670,1,54
scrambling,byte,array,Done,3960,2701,5280,0,33,84,0,10
scrambling,bit,array,Done,24024,2701,4004,17,1,861,3,55
scrambling,byte,hashed,Done,4030,2751,5376,1,1,189,1,10
scrambling,bit,hashed,Done,24336,2751,4056,7,1,3621,3,52
scrambling,byte,linked,Done,4030,2751,5376,3,2,73,1,9
scrambling,bit,linked,Done,24960,2751,4160,3,1,722,2,56
scrambling,byte,array,Done,4026,2751,5368,1,0,64,1,9
scrambling,bit,array,Done,25280,2751,4216,2,1,954,2,54
scrambling,byte,hashed,Done,3776,2801,5036,0,7,172,1,9
scrambling,bit,hashed,Done,24800,2801,4136,9,3,3152,3,53
scrambling,byte,linked,Done,3776,2801,5036,1,2,29,0,9
scrambling,bit,linked,Done,24960,2801,4160,3,1,702,52,65
scrambling,byte,array,Done,3770,2801,5028,1,0,57,1,9
scrambling,bit,array,Done,25280,2801,4216,3,0,942,3,56
scrambling,byte,hashed,Done,3840,2851,5120,1,34,219,0,9
scrambling,bit,hashed,Done,26080,2851,4348,10,2,3435,3,56
scrambling,byte,linked,Done,3835,2851,5116,5,1,30,1,8
scrambling,bit,linked,Done,25440,2851,4240,2,2,737,1,57
scrambling,byte,array,Done,3819,2851,5092,1,2,76,0,9
scrambling,bit,array,Done,25920,2851,4320,3,0,981,2,55
scrambling,byte,hashed,Done,3906,2901,5208,1,0,188,1,10
scrambling,bit,hashed,Done,25920,2901,4320,7,2,3419,4,57
scrambling,byte,linked,Done,3900,2901,5200,1,0,37,0,9
scrambling,bit,linked,Done,25600,2901,4268,3,1,727,1,58
scrambling,byte,array,Done,3876,2901,5168,3,1,52,0,9
scrambling,bit,array,Done,25584,2901,4264,2,1,967,3,59
scrambling,byte,hashed,Done,3968,2951,5292,1,1,178,1,9
scrambling,bit,hashed,Done,26896,2951,4484,15,2,3607,3,58
scrambling,byte,linked,Done,3960,2951,5280,0,1,37,0,9
scrambling,bit,linked,Done,26080,2951,4348,3,1,779,1,59
scrambling,byte,array,Done,3960,2951,5280,1,1,63,1,9
scrambling,bit,array,Done,26568,2951,4428,3,0,1140,2,58
scrambling,byte,hashed,Done,4032,3001,5376,1,0,199,1,10
scrambling,bit,hashed,Done,26400,3001,4400,16,20,3531,4,56
scrambling,byte,linked,Done,4030,3001,5376,0,1,44,0,9
scrambling,bit,linked,Done,26400,3001,4400,3,1,783,2,59
scrambling,byte,array,Done,4032,3001,5376,1,1,61,1,14
scrambling,bit,array,Done,26896,3001,4484,3,0,1040,2,59
scrambling,byte,hashed,Done,4092,3051,5456,1,1,200,1,10
scrambling,bit,hashed,Done,27224,3051,4540,9,2,3715,4,59
scrambling,byte,linked,Done,4096,3051,5464,0,1,41,1,9
scrambling,bit,linked,Done,26880,3051,4480,3,1,830,2,61
scrambling,byte,array,Done,4096,3051,5464,1,0,63,0,10
scrambling,bit,array,Done,27384,3051,4564,3,1,1072,3,60
scrambling,byte,hashed,Done,4154,3101,5540,1,1,194,1,10
scrambling,bit,hashed,Done,27720,3101,4620,8,1,3955,4,60
scrambling,byte,linked,Done,4160,3101,5548,1,0,37,0,10
scrambling,bit,linked,Done,27888,3101,4648,2,2,844,1,64
scrambling,byte,array,Done,4160,3101,5548,3,30,97,1,9
scrambling,bit,array,Done,27888,3101,4648,3,0,1090,66,91
scrambling,byte,hashed,Done,4216,3151,5624,2,0,220,1,11
scrambling,bit,hashed,Done,29064,3151,4844,8,2,4017,4,62
scrambling,byte,linked,Done,4225,3151,5636,1,0,40,0,10
scrambling,bit,linked,Done,27720,3151,4620,3,23,880,1,62
scrambling,byte,array,Done,4221,3151,5628,1,33,88,1,10
scrambling,bit,array,Done,27880,3151,4648,3,22,1096,102,62
scrambling,byte,hashed,Done,4270,3201,5696,1,1,209,1,9
scrambling,bit,hashed,Done,28208,3201,4704,8,1,3906,53,61
scrambling,byte,linked,Done,4270,3201,5696,3,3,70,0,10
scrambling,bit,linked,Done,28560,3201,4760,3,2,906,1,62
scrambling,byte,array,Done,4290,3201,5720,1,0,64,0,10
scrambling,bit,array,Done,28224,3201,4704,3,1,1129,52,90
scrambling,byte,hashed,Done,4352,3251,5804,2,1,210,0,10
scrambling,bit,hashed,Done,28560,3251,4760,8,1,4032,4,61
scrambling,byte,linked,Done,4347,3251,5796,1,1,44,1,10
scrambling,bit,linked,Done,29584,3251,4932,3,1,994,2,67
scrambling,byte,array,Done,4355,3251,5808,1,0,61,0,10
scrambling,bit,array,Done,29240,3251,4876,3,6,1224,3,64
scrambling,byte,hashed,Done,4355,3301,5808,1,1,214,0,11
scrambling,bit,hashed,Done,29240,3301,4876,8,1,4166,4,63
scrambling,byte,linked,Done,4352,3301,5804,3,1,76,1,9
scrambling,bit,linked,Done,29240,3301,4876,3,1,971,1,67
scrambling,byte,array,Done,4352,3301,5804,1,0,67,0,11
scrambling,bit,array,Done,29240,3301,4876,3,1,1201,3,64
scrambling,byte,hashed,Done,4420,3351,5896,2,1,210,1,10
scrambling,bit,hashed,Done,30096,3351,5016,9,1,4327,4,65
scrambling,byte,linked,Done,4422,3351,5896,1,0,39,1,10
scrambling,bit,linked,Done,29392,3351,4900,3,2,980,2,67
scrambling,byte,array,Done,4422,3351,5896,7,1,66,1,10
scrambling,bit,array,Done,29928,3351,4988,3,1,1237,2,65
